습도, 온도, 음성, 조도, 자석, 적외선인체감지, R(색깔), G(색깔), B(색깔), 자이로X, 자이로Y, 자이로Z, 가속도X, 가속도Y, 가속도Z, grideye pixels 1~64
11.10, 24.90, 88, 430, 0, 0, 133, 131, 164, -1.64, -0.59, 0.77, 1.04, -0.02, -0.11, 25.00, 25.75, 25.50, 25.25, 26.50, 30.25, 29.50, 29.25, 25.25, 25.25, 24.50, 24.25, 29.25, 30.75, 29.75, 26.75, 24.50, 24.75, 23.25, 24.00, 30.75, 29.25, 28.25, 26.25, 24.50, 25.25, 24.75, 23.50, 29.25, 31.00, 27.00, 25.75, 26.00, 27.00, 26.25, 24.00, 24.75, 23.75, 25.00, 25.75, 27.00, 28.50, 28.25, 24.25, 25.00, 24.75, 25.50, 24.75, 27.75, 29.75, 29.25, 24.00, 25.25, 25.75, 25.50, 26.25, 27.00, 28.25, 28.25, 25.50, 26.25, 26.50, 27.00, 26.75, 
12.00, 24.90, 88, 419, 1, 1, 136, 130, 164, -1.60, -0.50, 0.79, 1.03, -0.02, -0.11, 24.75, 25.25, 25.25, 25.50, 30.25, 29.75, 26.75, 27.75, 24.50, 25.00, 24.25, 24.00, 24.50, 25.00, 24.75, 25.00, 24.50, 24.50, 22.75, 22.25, 22.75, 24.25, 25.25, 25.75, 24.00, 25.50, 24.50, 23.00, 23.50, 23.25, 24.75, 25.00, 26.00, 27.00, 25.75, 23.75, 24.00, 21.75, 24.25, 25.00, 26.50, 28.00, 27.50, 24.25, 24.50, 24.75, 25.25, 24.75, 28.25, 30.00, 30.50, 23.75, 25.00, 25.75, 25.50, 25.50, 26.75, 28.50, 28.00, 25.00, 25.75, 26.25, 27.25, 26.25, 
12.00, 24.90, 88, 394, 0, 1, 130, 131, 165, -1.69, -0.47, 0.76, 1.04, -0.03, -0.11, 25.25, 25.50, 25.25, 26.00, 27.50, 26.25, 25.00, 24.75, 24.25, 25.00, 24.00, 23.50, 23.00, 23.75, 25.00, 25.00, 24.75, 24.50, 22.75, 22.00, 22.25, 24.25, 25.50, 25.25, 24.50, 25.25, 24.50, 23.25, 23.50, 23.00, 24.75, 24.75, 25.50, 27.00, 26.00, 23.50, 23.25, 21.50, 24.50, 24.75, 26.50, 27.75, 27.75, 23.75, 24.25, 24.25, 25.00, 24.50, 27.75, 29.25, 29.75, 24.00, 25.25, 25.25, 25.25, 25.25, 27.25, 28.25, 28.25, 25.25, 25.75, 26.25, 27.00, 26.75, 
12.80, 24.90, 87, 420, 0, 0, 135, 130, 164, -1.76, -0.49, 0.64, 1.04, -0.02, -0.11, 28.00, 27.50, 27.00, 28.00, 27.50, 27.75, 27.25, 28.00, 27.25, 27.25, 27.00, 27.00, 27.25, 26.75, 26.75, 25.75, 27.25, 27.25, 26.50, 26.75, 26.75, 26.00, 25.75, 25.50, 27.00, 27.25, 26.75, 26.00, 24.50, 24.00, 25.00, 25.00, 27.25, 26.50, 26.50, 24.50, 24.25, 21.75, 24.75, 25.50, 27.00, 27.75, 28.00, 24.50, 24.75, 25.25, 25.25, 24.25, 28.75, 29.75, 30.50, 24.25, 26.00, 25.25, 25.25, 25.75, 27.50, 29.00, 28.75, 25.50, 26.50, 26.25, 27.00, 26.50, 
12.80, 24.90, 88, 414, 0, 0, 131, 129, 165, -1.76, -0.60, 0.89, 1.04, -0.03, -0.12, 26.25, 27.75, 27.00, 25.25, 26.00, 24.25, 25.00, 24.75, 25.00, 26.25, 26.00, 23.75, 23.25, 24.00, 24.75, 25.00, 24.75, 24.75, 23.75, 22.50, 22.50, 24.25, 25.50, 25.25, 24.75, 25.50, 24.75, 23.25, 23.50, 23.50, 24.50, 25.25, 25.75, 27.25, 26.00, 23.75, 23.75, 21.50, 24.25, 24.50, 26.75, 28.00, 28.00, 23.50, 24.25, 24.75, 25.00, 24.75, 27.75, 29.50, 30.00, 24.25, 25.25, 25.50, 25.25, 25.75, 27.50, 28.50, 28.25, 25.75, 25.75, 26.25, 27.25, 26.50, 
13.10, 24.90, 88, 407, 0, 0, 135, 131, 164, -1.68, -0.52, 0.62, 1.04, -0.02, -0.11, 26.00, 27.50, 26.25, 26.00, 26.00, 23.75, 24.00, 24.25, 24.50, 25.50, 25.25, 23.75, 23.00, 22.75, 23.75, 24.75, 24.50, 24.25, 22.50, 22.00, 22.00, 24.00, 24.75, 24.50, 24.50, 25.25, 24.25, 22.50, 23.50, 23.00, 24.50, 24.50, 25.25, 26.00, 25.25, 23.50, 23.00, 20.75, 23.75, 24.50, 26.50, 27.75, 27.75, 23.25, 23.50, 24.50, 24.75, 24.25, 27.75, 29.75, 29.25, 23.50, 25.00, 25.25, 24.75, 24.50, 26.75, 28.00, 27.50, 25.25, 25.25, 26.25, 26.50, 26.00, 
13.10, 24.90, 88, 425, 0, 0, 132, 129, 164, -1.68, -0.69, 0.54, 1.04, -0.03, -0.11, 24.50, 26.50, 26.75, 25.75, 25.75, 23.25, 24.00, 23.75, 24.50, 25.25, 24.25, 24.00, 23.00, 23.25, 24.25, 24.25, 24.75, 24.00, 22.75, 22.25, 22.00, 23.75, 24.75, 25.00, 24.50, 25.50, 24.50, 23.00, 23.25, 23.50, 24.50, 24.75, 26.25, 26.50, 25.50, 23.25, 23.00, 21.00, 23.75, 24.75, 26.25, 27.75, 27.75, 23.00, 24.00, 24.25, 24.50, 24.50, 28.25, 29.00, 29.75, 24.25, 24.75, 25.00, 25.25, 25.25, 27.25, 28.25, 28.00, 25.75, 25.75, 26.25, 26.75, 26.00, 
12.70, 24.90, 89, 396, 0, 0, 134, 131, 164, -1.92, -0.49, 0.71, 1.04, -0.02, -0.11, 25.00, 26.25, 27.50, 29.25, 31.00, 30.25, 28.50, 28.25, 25.25, 26.00, 28.50, 31.00, 31.00, 29.75, 26.75, 26.50, 24.50, 25.00, 26.75, 30.25, 29.00, 25.50, 26.00, 25.50, 24.50, 26.25, 26.50, 26.75, 24.50, 23.50, 25.00, 25.25, 26.00, 27.50, 26.00, 24.25, 23.75, 21.75, 24.50, 24.75, 26.75, 27.75, 27.75, 24.00, 24.00, 24.50, 25.25, 24.00, 28.00, 29.50, 30.00, 24.00, 25.00, 25.75, 25.25, 25.50, 26.75, 28.50, 28.00, 25.50, 26.25, 26.50, 27.00, 26.25, 
12.70, 24.90, 89, 437, 0, 1, 134, 129, 164, -1.64, -0.38, 0.76, 1.04, -0.03, -0.11, 25.25, 25.75, 25.50, 25.50, 28.00, 32.00, 30.25, 27.00, 24.75, 25.25, 24.75, 24.50, 31.00, 31.50, 28.75, 27.25, 24.50, 24.75, 23.25, 24.50, 29.50, 29.00, 27.75, 27.75, 24.50, 25.75, 25.25, 28.00, 29.50, 30.50, 27.50, 26.25, 25.75, 27.00, 26.25, 27.00, 29.75, 28.25, 25.75, 25.25, 27.00, 28.00, 27.75, 25.00, 26.00, 25.50, 25.50, 25.25, 28.00, 29.75, 30.00, 24.75, 25.50, 26.00, 25.25, 26.00, 27.75, 28.25, 28.00, 25.00, 26.00, 26.50, 27.25, 27.00, 
12.30, 24.90, 88, 417, 0, 0, 133, 130, 164, -1.50, -0.75, 0.86, 1.04, -0.02, -0.11, 24.25, 26.00, 25.50, 25.00, 26.50, 30.75, 30.25, 29.75, 24.25, 25.25, 24.00, 24.50, 29.00, 31.25, 29.75, 27.00, 24.25, 24.00, 22.50, 23.50, 28.75, 29.25, 28.75, 28.00, 24.50, 25.50, 24.50, 23.75, 27.00, 30.50, 27.75, 27.25, 25.50, 26.75, 26.25, 27.75, 28.25, 29.50, 29.00, 27.75, 26.75, 28.50, 28.25, 29.25, 29.75, 30.75, 26.75, 25.25, 27.25, 30.00, 30.50, 27.00, 28.25, 27.25, 26.25, 25.50, 27.00, 28.50, 28.50, 25.75, 26.75, 26.75, 26.75, 26.50, 
